Bt20_ID,BH_ID,Date,Way_Point
4507560,,"CRTD 08:49 11-NOV-06","S26 11.192 E27 47.758"
4526520,,"CRTD 13:29 27-OCT-06","S26 14.672 E27 52.724"
4533291,,"CRTD 09:13 12-NOV-06","S26 12.204 E28 06.562"
4563099,,"CRTD 14:12 02-NOV-06","S26 15.251 E27 52.566"
3077345,458,"CRTD 06:41 17-SEP-06","S26 14.105 E27 51.784"
4715222,,"CRTD 09:25 21-OCT-06","S26 14.079 E27 49.774"
4731870,,"CRTD 08:26 14-OCT-06","S26 14.619 E27 48.972"
4734182,,"CRTD 09:42 14-OCT-06","S26 13.706 E27 54.022"
4773833,,"CRTD 11:06 27-OCT-06","S26 15.323 E27 52.358"
480431,,"CRTD 13:16 11-OCT-06","S26 15.186 E27 49.530"
4818921,,"CRTD 08:01 22-NOV-06","S26 15.888 E27 54.614"
4824305,,"CRTD 15:24 01-NOV-06","S26 14.862 E27 49.216"
4839929,,"CRTD 13:07 13-OCT-06","S26 14.159 E27 52.283"
4810465,485,"CRTD 07:15 12-NOV-06","S26 15.345 E28 05.118"
4815849,486,"CRTD 12:18 19-SEP-06","S26 16.202 E27 50.643"
4929028,488,"CRTD 12:57 22-SEP-06","S26 13.450 E27 53.697"
4884964,,"CRTD 13:02 04-DEC-06","S26 15.293 E27 48.918"
4916476,,"CRTD 10:38 08-DEC-06","S26 14.619 E28 05.651"
5162642,494,"CRTD 09:44 23-SEP-06","S26 11.772 E27 48.118"
4942604,,"CRTD 10:28 11-NOV-06","S26 11.464 E27 47.737"
4949012,,"CRTD 15:39 25-OCT-06","S26 14.455 E27 53.816"
5001390,,"CRTD 12:13 07-OCT-06","S26 12.374 E27 51.659"
5367992,501,"CRTD 14:41 21-SEP-06","S26 13.187 E27 48.782"
5017687,,"CRTD 07:31 11-NOV-06","S26 13.213 E27 49.190"
5369016,502,"CRTD 11:43 22-SEP-06","S26 14.329 E27 51.581"
5027607,,"CRTD 11:47 02-NOV-06","S26 14.415 E27 49.194"
5054583,,"CRTD 06:45 29-NOV-06","S26 13.625 E27 50.901"
5068599,,"CRTD 13:32 02-NOV-06","S26 14.865 E27 52.508"
5076031,,"CRTD 10:20 20-NOV-06","S26 14.113 E27 54.664"
5472979,509,"CRTD 14:46 06-NOV-06","S26 14.587 E27 51.214"
5092239,,"CRTD 13:48 08-NOV-06","S26 13.525 E27 49.908"
5483483,510,"CRTD 07:32 07-NOV-06","S26 14.590 E27 51.255"
5489627,511,"CRTD 13:05 08-NOV-06","S26 15.196 E27 48.342"
5496035,512,"CRTD 13:35 10-NOV-06","S26 13.731 E27 49.445"
5123698,,"CRTD 10:13 07-OCT-06","S26 13.758 E27 49.215"
5125746,,"CRTD 09:14 19-OCT-06","S26 15.354 E27 57.576"
5147778,,"CRTD 12:40 18-OCT-06","S26 14.800 E27 50.146"
5161354,,"CRTD 07:12 04-OCT-06","S26 14.871 E27 55.995"
5179290,,"CRTD 07:54 07-OCT-06","S26 14.289 E27 50.707"
5208754,,"CRTD 10:13 09-NOV-06","S26 13.307 E27 55.294"
5224325,,"CRTD 06:48 15-OCT-06","S26 13.476 E27 49.486"
5231757,,"CRTD 08:38 01-DEC-06","S26 13.307 E27 54.723"
5237901,,"CRTD 14:45 20-OCT-06","S26 14.163 E27 50.392"
5238925,,"CRTD 09:06 28-SEP-06","S26 14.348 E27 55.400"
5254813,,"CRTD 07:30 28-SEP-06","S26 13.452 E27 54.897"
5304261,,"CRTD 14:46 26-OCT-06","S26 14.977 E27 52.821"
5362872,,"CRTD 13:52 12-OCT-06","S26 15.105 E27 52.914"
5414368,,"CRTD 09:45 05-DEC-06","S26 14.555 E27 50.118"
5420512,,"CRTD 13:51 17-NOV-06","S26 16.839 E27 48.326"
5429992,,"CRTD 13:15 17-NOV-06","S26 17.410 E27 50.400"
5457091,,"CRTD 08:30 17-NOV-06","S26 16.592 E27 48.298"
7956453,546,"CRTD 12:36 20-SEP-06","S26 12.896 E27 52.410"
5462475,,"CRTD 13:55 11-OCT-06","S26 15.013 E27 48.828"
5469643,,"CRTD 14:23 10-OCT-06","S26 13.678 E27 51.249"
9004123,556,"CRTD 08:06 27-NOV-06","S26 16.662 E27 50.973"
9024177,557,"CRTD 11:46 27-NOV-06","S26 11.584 E27 48.059"
5665441,,"CRTD 07:30 16-NOV-06","S26 12.195 E28 06.679"
9272297,567,"CRTD 08:29 16-SEP-06","S26 15.631 E27 50.026"
5691417,,"CRTD 07:54 01-DEC-06","S26 14.882 E27 52.421"
2495002,570,"CRTD 09:20 17-SEP-06","S26 14.882 E27 52.795"
5731873,,"CRTD 12:34 27-OCT-06","S26 15.468 E27 49.902"
6689860,574,"CRTD 13:09 18-SEP-06","S26 14.763 E27 49.022"
1164678,578,"CRTD 13:19 21-SEP-06","S26 17.046 E27 54.986"
5817900,,"CRTD 10:32 15-OCT-06","S26 16.296 E27 50.837"
1315777,583,"CRTD 11:52 17-SEP-06","S26 15.008 E27 52.876"
1361836,585,"CRTD 06:18 25-NOV-06","S26 15.810 E27 56.382"
5890087,,"CRTD 08:05 29-NOV-06","S26 13.224 E27 49.840"
6009674,,"CRTD 09:30 07-DEC-06","S26 14.099 E27 57.383"
6077058,,"CRTD 09:18 27-NOV-06","S26 16.402 E27 53.147"
6104141,,"CRTD 06:56 02-DEC-06","S26 08.085 E28 06.239"
2393351,611,"CRTD 13:48 26-SEP-06","S26 14.713 E27 48.374"
6117237,,"CRTD 13:47 17-OCT-06","S26 15.384 E27 52.717"
6151189,,"CRTD 14:27 10-NOV-06","S26 13.738 E27 50.419"
2583077,617,"CRTD 08:24 03-NOV-06","S26 13.903 E27 53.043"
2620733,618,"CRTD 08:04 17-SEP-06","S26 13.818 E27 52.151"
631988,,"CRTD 06:07 14-OCT-06","S26 14.468 E27 52.248"
6380547,,"CRTD 12:42 02-NOV-06","S26 15.406 E27 50.727"
3610232,639,"CRTD 15:04 10-OCT-06","S26 12.392 E27 52.196"
3618688,640,"CRTD 15:06 10-OCT-06","S26 12.391 E27 52.192"
3652248,641,"CRTD 06:49 12-OCT-06","S26 15.377 E27 51.088"
3654296,642,"CRTD 12:13 13-OCT-06","S26 14.191 E27 52.508"
3821990,644,"CRTD 06:46 28-NOV-06","S26 14.246 E27 53.465"
3844286,645,"CRTD 10:36 23-SEP-06","S26 11.066 E27 48.519"
6458118,,"CRTD 14:46 13-OCT-06","S26 14.224 E27 51.629"
3888033,646,"CRTD 09:02 29-NOV-06","S26 11.570 E27 50.874"
3914425,647,"CRTD 13:10 20-SEP-06","S26 13.980 E27 50.424"
3918521,648,"CRTD 09:05 29-NOV-06","S26 11.565 E27 50.888"
6563105,,"CRTD 07:03 14-OCT-06","S26 15.703 E27 49.473"
6571561,,"CRTD 11:52 15-NOV-06","S26 16.368 E27 50.911"
6576681,,"CRTD 12:44 08-DEC-06","S26 15.948 E27 51.026"
